,nombre,popularity,artista,pais
0,Unwritten,81,Natasha Bedingfield,AT
1,Angel,28,"Shaggy, Rayvon",AT
2,Mr. Brightside,82,The Killers,AT
3,Rooftop,0,Sasha,AT
4,Numb,83,Linkin Park,AT
5,This Is My Time,1,Sasha,AT
6,In the End,82,Linkin Park,AT
7,Dímelo bajito,0,Manzanita,AT
8,Yellow,86,Coldplay,AT
9,La vita è,1,Nek,AT
10,Mockingbird,81,Eminem,AT
11,Here She Comes Again,0,Sasha,AT
12,Without Me,83,Eminem,AT
13,Turn It into Something Special,0,Sasha,AT
14,How You Remind Me,80,Nickelback,AT
15,San Pedro,0,"Revolver, Mick Glossp",AT
16,Faint,79,Linkin Park,AT
17,Cabelo Raspadinho,2,Chiclete Com Banana,AT
18,The Scientist,83,Coldplay,AT
19,Dar A Volta No Brasil - Ao Vivo,0,Chiclete Com Banana,AT
20,Last Resort,76,Papa Roach,AT
21,David's Arm - from Deuce,0,Korn,AT
22,Can't Stop,80,Red Hot Chili Peppers,AT
23,Eso de saber,0,Revolver,AT
24,The Real Slim Shady,81,Eminem,AT
25,He Loves U Not,1,Dream,AT
26,"Irgendwie, irgendwo, irgendwann",62,Nena,AT
27,Devolva-Me,0,Adriana Calcanhotto,AT
28,Somewhere Only We Know,80,Keane,AT
29,Stuck in the Middle with You,0,Louise,AT
30,L'Amour Toujours,71,Gigi D'Agostino,AT
31,2 Faced,0,Louise,AT
32,One Step Closer,79,Linkin Park,AT
33,Kiedy góral umiera,0,Harlem,AT
34,Dancing in the Moonlight,51,Toploader,AT
35,El peligro,0,Revolver,AT
36,Sonne,73,Rammstein,AT
37,This Is Me,0,Dream,AT
38,Crazy In Love (feat. JAY-Z),77,"Beyoncé, JAY-Z",AT
39,Beautiful Inside,0,Louise,AT
40,Denkmal,61,Wir sind Helden,AT
41,Wierz? w siebie,0,Harlem,AT
42,Ein Kompliment,61,Sportfreunde Stiller,AT
43,Take Me Home,0,"Terror Squad, remy, Fat Joe, Dre, Armageddon",AT
44,Bring Me To Life,80,Evanescence,AT
45,Ni na no,0,Javier Álvarez,AT
46,Till I Collapse,79,"Eminem, Nate Dogg",AT
47,Call Me,0,Blondie,AT
48,Yeah! (feat. Lil Jon & Ludacris),80,"USHER, Lil Jon, Ludacris",AT
49,Mestizo,0,Revolver,AT
50,Unwritten,81,Natasha Bedingfield,DE
51,Angel,28,"Shaggy, Rayvon",DE
52,Numb,83,Linkin Park,DE
53,This Is My Time,1,Sasha,DE
54,Mr. Brightside,82,The Killers,DE
55,Rooftop,0,Sasha,DE
56,In the End,82,Linkin Park,DE
57,La vita è,1,Nek,DE
58,Mockingbird,81,Eminem,DE
59,Here She Comes Again,0,Sasha,DE
60,Without Me,83,Eminem,DE
61,Turn It into Something Special,0,Sasha,DE
62,Yeah! (feat. Lil Jon & Ludacris),80,"USHER, Lil Jon, Ludacris",DE
63,He Loves U Not,1,Dream,DE
64,"Irgendwie, irgendwo, irgendwann",62,Nena,DE
65,This Is Me,0,Dream,DE
66,How You Remind Me,80,Nickelback,DE
67,Dímelo bajito,0,Manzanita,DE
68,Faint,79,Linkin Park,DE
69,Csak Játék,0,Zorán,DE
70,Yellow,86,Coldplay,DE
71,Love Is Alive - Live; 2004 Remaster,0,Joe Cocker,DE
72,Last Resort,76,Papa Roach,DE
73,Stuck in the Middle with You,0,Louise,DE
74,Denkmal,61,Wir sind Helden,DE
75,2 Faced,0,Louise,DE
76,Crazy In Love (feat. JAY-Z),77,"Beyoncé, JAY-Z",DE
77,Dar A Volta No Brasil - Ao Vivo,0,Chiclete Com Banana,DE
78,Sonne,73,Rammstein,DE
79,Cabelo Raspadinho,2,Chiclete Com Banana,DE
80,The Real Slim Shady,81,Eminem,DE
81,Kiedy góral umiera,0,Harlem,DE
82,Ein Kompliment,61,Sportfreunde Stiller,DE
83,Beautiful Inside,0,Louise,DE
84,Till I Collapse,79,"Eminem, Nate Dogg",DE
85,The Way I Am,0,Eminem,DE
86,One Step Closer,79,Linkin Park,DE
