id;nombre_cancion;popularity;artista;pais;genero;Rango_lustros
0;Soldadito marinero;62;Fito y Fitipaldis;ES;spanish;2000-2004
1;Angel;28;Shaggy, Rayvon;ES;NULL;2000-2004
2;Rosas;75;La Oreja de Van Gogh;ES;pop;2000-2004
3;Dímelo bajito;0;Manzanita;ES;NULL;2000-2004
4;La vereda de la puerta de atrás;60;Extremoduro;ES;rock;2000-2004
5;San Pedro;0;Revolver, Mick Glossp;ES;NULL;2000-2004
6;La casa por el tejado;59;Fito y Fitipaldis;ES;Spanish Rock;2000-2004
7;El peligro;0;Revolver;ES;metal;2000-2004
8;Yellow;86;Coldplay;ES;rock;2000-2004
9;Eso de saber;0;Revolver;ES;LO MAS;2000-2004
10;Carolina - En directo 2000;59;M-Clan;ES;NULL;2000-2004
11;Mestizo;0;Revolver;ES;Revolver;2000-2004
12;Dile;76;Don Omar;ES;Reggaeton;2000-2004
13;Ni na no;0;Javier Álvarez;ES;NULL;2000-2004
14;Vino Tinto;59;Estopa;ES;spanish;2000-2004
15;He Loves U Not;0;Dream;ES;pop;2000-2004
16;Cuando zarpa el amor;58;Camela;ES;hit;2000-2004
17;La vita è;1;Nek;ES;pop;2000-2004
18;Puedes Contar Conmigo;64;La Oreja de Van Gogh;ES;spanish;2000-2004
19;Stuck in the Middle with You;0;Louise;ES;pop;2000-2004
20;The Scientist;83;Coldplay;ES;Coldplay;2000-2004
21;Cabelo Raspadinho;2;Chiclete Com Banana;ES;brasil;2000-2004
22;Stand By;57;Extremoduro;ES;spanish;2000-2004
23;2 Faced;0;Louise;ES;pop;2000-2004
24;Somewhere Only We Know;80;Keane;ES;britpop;2000-2004
25;This Is Me;0;Dream;ES;pop;2000-2004
26;Without Me;83;Eminem;ES;rap;2000-2004
27;Dar A Volta No Brasil - Ao Vivo;0;Chiclete Com Banana;ES;NULL;2000-2004
28;El aire de la calle;56;Los Delinqüentes;ES;Flamenco;2000-2004
29;Beautiful Inside;0;Louise;ES;pop;2000-2004
30;Numb;83;Linkin Park;ES;rock;2000-2004
31;Quemando tus recuerdos - Gira 2002;0;Extremoduro;ES;NULL;2000-2004
32;Obsesion;73;Aventura, Judy Santos;ES;NULL;2000-2004
33;American Life (Director's Cut) - 4K Remaster;0;Madonna;ES;NULL;2000-2004
34;Quiereme;55;El Barrio;ES;QUIEREME- EL BARRIO;2000-2004
35;HEY! JORDU!;0;PE'Z;ES;NULL;2000-2004
36;La Playa;69;La Oreja de Van Gogh;ES;pop;2000-2004
37;Welcome To Hell (Videoclip);0;Ska-P;ES;NULL;2000-2004
38;Cómo hablar;55;Amaral;ES;pop;2000-2004
39;Devolva-Me;1;Adriana Calcanhotto;ES;mpb;2000-2004
40;La Madre de Jose;55;El Canto Del Loco;ES;El Canto del Loco;2000-2004
41;This Is My Time;0;Sasha;ES;pop;2000-2004
42;In the End;82;Linkin Park;ES;rock;2000-2004
43;Rooftop;0;Sasha;ES;pop;2000-2004
44;Insoportable;54;El Canto Del Loco;ES;spanish;2000-2004
45;Kiedy góral umiera;0;Harlem;ES;polish;2000-2004
46;Clocks;79;Coldplay;ES;rock;2000-2004
47;Here She Comes Again;0;Sasha;ES;pop;2000-2004
48;20 de Enero;60;La Oreja de Van Gogh;ES;spanish;2000-2004
49;Turn It into Something Special;0;Sasha;ES;pop;2000-2004
50;Numb;83;Linkin Park;FR;rock;2000-2004
51;Angel;28;Shaggy, Rayvon;FR;NULL;2000-2004
52;Without Me;83;Eminem;FR;rap;2000-2004
53;La vita è;1;Nek;FR;pop;2000-2004
54;Mockingbird;81;Eminem;FR;rap;2000-2004
55;Cabelo Raspadinho;2;Chiclete Com Banana;FR;brasil;2000-2004
56;Somewhere Only We Know;80;Keane;FR;britpop;2000-2004
57;Devolva-Me;1;Adriana Calcanhotto;FR;mpb;2000-2004
58;In the End;82;Linkin Park;FR;rock;2000-2004
59;This Is My Time;0;Sasha;FR;pop;2000-2004
60;Femme Like U;62;K.Maro;FR;Hip-Hop;2000-2004
61;He Loves U Not;0;Dream;FR;pop;2000-2004
62;Yellow;86;Coldplay;FR;rock;2000-2004
63;Rooftop;0;Sasha;FR;pop;2000-2004
64;The Real Slim Shady;81;Eminem;FR;rap;2000-2004
65;Stuck in the Middle with You;0;Louise;FR;pop;2000-2004
66;The Scientist;83;Coldplay;FR;Coldplay;2000-2004
67;Dímelo bajito;0;Manzanita;FR;NULL;2000-2004
68;Manhattan-Kaboul;58;Renaud, Axelle Red;FR;NULL;2000-2004
69;Dar A Volta No Brasil - Ao Vivo;0;Chiclete Com Banana;FR;NULL;2000-2004
70;Can't Stop;80;Red Hot Chili Peppers;FR;rock;2000-2004
71;2 Faced;0;Louise;FR;pop;2000-2004
72;Fallin';73;Alicia Keys;FR;soul;2000-2004
73;Kiedy góral umiera;0;Harlem;FR;polish;2000-2004
74;Yeah! (feat. Lil Jon & Ludacris);80;USHER, Lil Jon, Ludacris;FR;NULL;2000-2004
75;San Pedro;0;Revolver, Mick Glossp;FR;NULL;2000-2004
76;Crazy In Love (feat. JAY-Z);76;Beyoncé, JAY-Z;FR;NULL;2000-2004
77;El peligro;0;Revolver;FR;metal;2000-2004
78;How You Remind Me;80;Nickelback;FR;rock;2000-2004
79;This Is Me;0;Dream;FR;pop;2000-2004
80;Dernière danse;57;Kyo;FR;french;2000-2004
81;Here She Comes Again;0;Sasha;FR;pop;2000-2004
82;J'ai demandé à la lune;57;Indochine;FR;french;2000-2004
83;Turn It into Something Special;0;Sasha;FR;pop;2000-2004
84;Lose Yourself;76;Eminem;FR;rap;2000-2004
85;Beautiful Inside;0;Louise;FR;pop;2000-2004
86;Murder On The Dancefloor;76;Sophie Ellis-Bextor;FR;pop;2000-2004
87;American Life (Director's Cut) - 4K Remaster;0;Madonna;FR;NULL;2000-2004
88;Gasolina;76;Daddy Yankee;FR;Reggaeton;2000-2004
89;Wierz? w siebie;0;Harlem;FR;NULL;2000-2004
90;Obsesion;73;Aventura, Judy Santos;FR;NULL;2000-2004
91;Eso de saber;0;Revolver;FR;LO MAS;2000-2004
92;Lady - Hear Me Tonight;75;Modjo;FR;House;2000-2004
93;Take Me Home;0;Terror Squad, remy, Fat Joe, Dre, Armageddon;FR;NULL;2000-2004
94;Me Gustas Tu;75;Manu Chao;FR;reggae;2000-2004
95;Love Is Alive - Live;;;;;2000-2004
96;Bring Me To Life;80;Evanescence;FR;rock;2000-2004
97;Ni na no;0;Javier Álvarez;FR;NULL;2000-2004
98;In Da Club;77;50 Cent;FR;rap;2000-2004
99;Call Me;0;Blondie;FR;80s;2000-2004
100;Yellow;86;Coldplay;MC;rock;2000-2004
101;Angel;28;Shaggy, Rayvon;MC;NULL;2000-2004
102;The Scientist;83;Coldplay;MC;Coldplay;2000-2004
103;Cabelo Raspadinho;2;Chiclete Com Banana;MC;brasil;2000-2004
104;Without Me;83;Eminem;MC;rap;2000-2004
105;Devolva-Me;1;Adriana Calcanhotto;MC;mpb;2000-2004
106;Numb;83;Linkin Park;MC;rock;2000-2004
107;La vita è;1;Nek;MC;pop;2000-2004
108;Mr. Brightside;82;The Killers;MC;rock;2000-2004
109;This Is My Time;0;Sasha;MC;pop;2000-2004
110;In the End;82;Linkin Park;MC;rock;2000-2004
111;He Loves U Not;0;Dream;MC;pop;2000-2004
112;Sparks;82;Coldplay;MC;rock;2000-2004
113;Rooftop;0;Sasha;MC;pop;2000-2004
114;Mockingbird;81;Eminem;MC;rap;2000-2004
115;Stuck in the Middle with You;0;Louise;MC;pop;2000-2004
116;Unwritten;81;Natasha Bedingfield;MC;pop;2000-2004
117;Dímelo bajito;0;Manzanita;MC;NULL;2000-2004
118;The Real Slim Shady;81;Eminem;MC;rap;2000-2004
119;Dar A Volta No Brasil - Ao Vivo;0;Chiclete Com Banana;MC;NULL;2000-2004
120;Can't Stop;80;Red Hot Chili Peppers;MC;rock;2000-2004
121;2 Faced;0;Louise;MC;pop;2000-2004
122;Bring Me To Life;80;Evanescence;MC;rock;2000-2004
123;Kiedy góral umiera;0;Harlem;MC;polish;2000-2004
124;Yeah! (feat. Lil Jon & Ludacris);80;USHER, Lil Jon, Ludacris;MC;NULL;2000-2004
125;San Pedro;0;Revolver, Mick Glossp;MC;NULL;2000-2004
126;Somewhere Only We Know;80;Keane;MC;britpop;2000-2004
127;El peligro;0;Revolver;MC;metal;2000-2004
128;How You Remind Me;80;Nickelback;MC;rock;2000-2004
129;This Is Me;0;Dream;MC;pop;2000-2004
130;Toxicity;80;System Of A Down;MC;metal;2000-2004
131;Here She Comes Again;0;Sasha;MC;pop;2000-2004
132;Duvet;79;bôa;MC;anime;2000-2004
133;Turn It into Something Special;0;Sasha;MC;pop;2000-2004
134;Clocks;79;Coldplay;MC;rock;2000-2004
135;Beautiful Inside;0;Louise;MC;pop;2000-2004
136;Till I Collapse;79;Eminem, Nate Dogg;MC;NULL;2000-2004
137;American Life (Director's Cut) - 4K Remaster;0;Madonna;MC;NULL;2000-2004
138;Faint;79;Linkin Park;MC;rock;2000-2004
139;Wierz? w siebie;0;Harlem;MC;NULL;2000-2004
140;Chop Suey!;79;System Of A Down;MC;alternative metal;2000-2004
141;Eso de saber;0;Revolver;MC;LO MAS;2000-2004
142;Seven Nation Army;78;The White Stripes;MC;rock;2000-2004
143;Love Is Alive - Live;;;;;2000-2004
144;One Step Closer;78;Linkin Park;MC;Nu Metal;2000-2004
145;Ni na no;0;Javier Álvarez;MC;NULL;2000-2004
146;This Love;78;Maroon 5;MC;pop;2000-2004
147;Call Me;0;Blondie;MC;80s;2000-2004
148;She Will Be Loved - Radio Mix;78;Maroon 5;MC;pop;2000-2004
149;Mestizo;0;Revolver;MC;Revolver;2000-2004
150;Numb;83;Linkin Park;IT;rock;2000-2004
151;Angel;28;Shaggy, Rayvon;IT;NULL;2000-2004
152;In the End;82;Linkin Park;IT;rock;2000-2004
153;La vita è;1;Nek;IT;pop;2000-2004
154;Without Me;83;Eminem;IT;rap;2000-2004
155;Dímelo bajito;0;Manzanita;IT;NULL;2000-2004
156;Yellow;86;Coldplay;IT;rock;2000-2004
157;Stuck in the Middle with You;0;Louise;IT;pop;2000-2004
158;Mockingbird;81;Eminem;IT;rap;2000-2004
159;This Is My Time;0;Sasha;IT;pop;2000-2004
160;E...;56;Vasco Rossi;IT;vasco rossi;2000-2004
161;He Loves U Not;0;Dream;IT;pop;2000-2004
162;The Scientist;83;Coldplay;IT;Coldplay;2000-2004
163;San Pedro;0;Revolver, Mick Glossp;IT;NULL;2000-2004
164;Somewhere Only We Know;80;Keane;IT;britpop;2000-2004
165;Eso de saber;0;Revolver;IT;LO MAS;2000-2004
166;The Real Slim Shady;81;Eminem;IT;rap;2000-2004
167;El peligro;0;Revolver;IT;metal;2000-2004
168;Vieni A Vedere Perchè;54;Cesare Cremonini;IT;italianigdchill;2000-2004
169;Cabelo Raspadinho;2;Chiclete Com Banana;IT;brasil;2000-2004
170;Unwritten;81;Natasha Bedingfield;IT;pop;2000-2004
171;Devolva-Me;1;Adriana Calcanhotto;IT;mpb;2000-2004
172;Can't Stop;80;Red Hot Chili Peppers;IT;rock;2000-2004
173;This Is Me;0;Dream;IT;pop;2000-2004
174;Bring Me To Life;80;Evanescence;IT;rock;2000-2004
175;Sing For The Moment - Edited;0;Eminem;IT;NULL;2000-2004
176;Till I Collapse;79;Eminem, Nate Dogg;IT;NULL;2000-2004
177;Piccolo Amico;0;Gigi D'Alessio;IT;NULL;2000-2004
178;Lose Yourself;76;Eminem;IT;rap;2000-2004
179;New Bibi-Hendl - Rap;0;Takeo Ischi;IT;NULL;2000-2004
180;In Da Club;77;50 Cent;IT;rap;2000-2004
181;Right Now;0;Korn;IT;Nu Metal;2000-2004
182;Gasolina;76;Daddy Yankee;IT;Reggaeton;2000-2004
183;That's The Way - Live at Earls Court, London, England, 5/1975;0;Led Zeppelin;IT;NULL;2000-2004
184;Mr. Brightside;82;The Killers;IT;rock;2000-2004
185;Rooftop;0;Sasha;IT;pop;2000-2004
186;Obsesion;73;Aventura, Judy Santos;IT;NULL;2000-2004
187;Turn It into Something Special;0;Sasha;IT;pop;2000-2004
188;How You Remind Me;80;Nickelback;IT;rock;2000-2004
189;2 Faced;0;Louise;IT;pop;2000-2004
190;Clocks;79;Coldplay;IT;rock;2000-2004
191;Guilty Conscience - Director's Cut;0;Eminem, Dr. Dre;IT;NULL;2000-2004
192;Toxicity;80;System Of A Down;IT;metal;2000-2004
193;I've Got Mine - Remaster;0;UB40;IT;NULL;2000-2004
194;Faint;79;Linkin Park;IT;rock;2000-2004
195;Encore;0;JAY-Z;IT;Hip-Hop;2000-2004
196;Superman;78;Eminem, Dina Rae;IT;NULL;2000-2004
197;'03 Bonnie & Clyde;0;JAY-Z, Beyoncé Knowles;IT;NULL;2000-2004
198;L'Amour Toujours;71;Gigi D'Agostino;IT;dance;2000-2004
199;American Life (Director's Cut) - 4K Remaster;0;Madonna;IT;NULL;2000-2004
200;Na Soncu;33;Siddharta;SI;rock;2000-2004
